GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-auth,com.keepguard.ms_auth.adapters.in.rest.user,UserController,233,488,12,0,49,79,9,14,3,14
ms-auth,com.keepguard.ms_auth.domain.enums,UserStatus,0,21,0,0,0,4,0,1,0,1
ms-auth,com.keepguard.ms_auth.domain.enums,UserStatusEventType,0,45,0,0,0,8,0,1,0,1
ms-auth,com.keepguard.ms_auth.infrastructure.context,CorrelationContext,0,38,0,6,0,13,0,8,0,5
ms-auth,com.keepguard.ms_auth.infrastructure.nosql.mongodb,MongoDBAdapter,31,0,0,0,11,0,6,0,6,0
ms-auth,com.keepguard.ms_auth.adapters.in.rest.auth,AuthController,99,219,0,0,17,44,2,8,2,8
ms-auth,com.keepguard.ms_auth.infrastructure.interceptor,FeignErrorDecoder,0,31,0,0,0,5,0,3,0,3
ms-auth,com.keepguard.ms_auth.infrastructure.interceptor,FeignCorrelationIdInterceptor,0,43,0,4,0,9,0,5,0,3
ms-auth,com.keepguard.ms_auth.infrastructure.metrics,MetricsAdapter,53,0,0,0,14,0,8,0,8,0
ms-auth,com.keepguard.ms_auth.infrastructure.config.resilience,ResilienceConfig,70,0,0,0,32,0,7,0,7,0
ms-auth,com.keepguard.ms_auth.adapters.in.rest.helper,HelperController,0,83,0,6,0,17,0,7,0,4
ms-auth,com.keepguard.ms_auth.adapters.in.rest.authority,AuthorityController,8,316,1,3,2,68,1,10,0,9
ms-auth,com.keepguard.ms_auth.infrastructure.config,JacksonConfig,36,0,0,0,9,0,2,0,2,0
ms-auth,com.keepguard.ms_auth.infrastructure.config,SwaggerConfig,51,0,0,0,18,0,2,0,2,0
ms-auth,com.keepguard.ms_auth.infrastructure.config,FeignConfig,15,0,0,0,6,0,4,0,4,0
ms-auth,com.keepguard.ms_auth.adapters.in.rest.role,RoleController,122,326,0,4,18,70,2,11,2,9
